39, State-gov,13, Adm-clerical,2174,0,40, <=50K
50, Self-emp-not-inc,13, Exec-managerial,0,0,13, <=50K
38, Private,9, Handlers-cleaners,0,0,40, <=50K
53, Private,7, Handlers-cleaners,0,0,40, <=50K
28, Private,13, Prof-specialty,0,0,40, <=50K
37, Private,14, Exec-managerial,0,0,40, <=50K
49, Private,5, Other-service,0,0,16, <=50K
52, Self-emp-not-inc,9, Exec-managerial,0,0,45, >50K
31, Private,14, Prof-specialty,14084,0,50, >50K
42, Private,13, Exec-managerial,5178,0,40, >50K
37, Private,10, Exec-managerial,0,0,80, >50K
30, State-gov,13, Prof-specialty,0,0,40, >50K
23, Private,13, Adm-clerical,0,0,30, <=50K
32, Private,12, Sales,0,0,50, <=50K
40, Private,11, Craft-repair,0,0,40, >50K
34, Private,4, Transport-moving,0,0,45, <=50K
25, Self-emp-not-inc,9, Farming-fishing,0,0,35, <=50K
32, Private,9, Machine-op-inspct,0,0,40, <=50K
38, Private,7, Sales,0,0,50, <=50K
43, Self-emp-not-inc,14, Exec-managerial,0,0,45, >50K
40, Private,16, Prof-specialty,0,0,60, >50K
54, Private,9, Other-service,0,0,20, <=50K
35, Federal-gov,5, Farming-fishing,0,0,40, <=50K
43, Private,7, Transport-moving,0,2042,40, <=50K
59, Private,9, Tech-support,0,0,40, <=50K
56, Local-gov,13, Tech-support,0,0,40, >50K
19, Private,9, Craft-repair,0,0,40, <=50K
54, ?,10, ?,0,0,60, >50K
39, Private,9, Exec-managerial,0,0,80, <=50K
49, Private,9, Craft-repair,0,0,40, <=50K
23, Local-gov,12, Protective-serv,0,0,52, <=50K
20, Private,10, Sales,0,0,44, <=50K
45, Private,13, Exec-managerial,0,1408,40, <=50K
30, Federal-gov,10, Adm-clerical,0,0,40, <=50K
22, State-gov,10, Other-service,0,0,15, <=50K
48, Private,7, Machine-op-inspct,0,0,40, <=50K
21, Private,10, Machine-op-inspct,0,0,40, <=50K
19, Private,9, Adm-clerical,0,0,25, <=50K
31, Private,10, Sales,0,0,38, >50K
48, Self-emp-not-inc,12, Prof-specialty,0,0,40, <=50K
31, Private,5, Machine-op-inspct,0,0,43, <=50K
53, Self-emp-not-inc,13, Prof-specialty,0,0,40, <=50K
24, Private,13, Tech-support,0,0,50, <=50K
49, Private,9, Adm-clerical,0,0,40, <=50K
25, Private,9, Handlers-cleaners,0,0,35, <=50K
57, Federal-gov,13, Prof-specialty,0,0,40, >50K
53, Private,9, Machine-op-inspct,0,0,38, <=50K
44, Private,14, Exec-managerial,0,0,40, <=50K
41, State-gov,11, Craft-repair,0,0,40, <=50K
29, Private,11, Prof-specialty,0,0,43, <=50K
25, Private,10, Exec-managerial,0,0,40, <=50K
18, Private,9, Other-service,0,0,30, <=50K
47, Private,15, Prof-specialty,0,1902,60, >50K
50, Federal-gov,13, Exec-managerial,0,0,55, >50K
47, Self-emp-inc,9, Exec-managerial,0,0,60, <=50K
43, Private,10, Tech-support,0,0,40, >50K
46, Private,3, Machine-op-inspct,0,0,40, <=50K
35, Private,11, Other-service,0,0,40, <=50K
41, Private,9, Adm-clerical,0,0,48, <=50K
30, Private,9, Machine-op-inspct,5013,0,40, <=50K
30, Private,13, Sales,2407,0,40, <=50K
32, ?,4, ?,0,0,40, <=50K
48, Private,9, Transport-moving,0,0,40, <=50K
42, Private,16, Prof-specialty,0,0,45, >50K
29, Private,10, Tech-support,0,0,58, <=50K
36, Private,9, Craft-repair,0,0,40, <=50K
28, Private,10, Adm-clerical,0,0,40, <=50K
53, Private,9, Adm-clerical,0,0,40, >50K
49, Self-emp-inc,10, Exec-managerial,0,0,50, >50K
25, ?,10, ?,0,0,40, <=50K
19, Private,10, Prof-specialty,0,0,32, <=50K
31, Private,13, Sales,0,0,40, <=50K
29, Self-emp-not-inc,13, Sales,0,0,70, >50K
23, Private,10, Machine-op-inspct,0,0,40, <=50K
79, Private,10, Prof-specialty,0,0,20, <=50K
27, Private,9, Other-service,0,0,40, <=50K
40, Private,12, Adm-clerical,0,0,40, <=50K
67, ?,6, ?,0,0,2, <=50K
18, Private,7, Other-service,0,0,22, <=50K
31, Local-gov,4, Farming-fishing,0,0,40, <=50K
18, Private,9, Sales,0,0,30, <=50K
52, Private,13, Other-service,0,0,40, <=50K
46, Private,9, Other-service,0,0,40, <=50K
59, Private,9, Sales,0,0,48, <=50K
44, Private,9, Craft-repair,14344,0,40, >50K
53, Private,9, Sales,0,0,35, <=50K
49, Local-gov,9, Protective-serv,0,0,40, >50K
33, Private,14, Prof-specialty,0,0,50, <=50K
30, Private,5, Sales,0,0,40, <=50K
43, Federal-gov,16, Prof-specialty,0,0,50, >50K
57, Private,11, Prof-specialty,0,0,40, <=50K
37, Private,10, Craft-repair,0,0,40, <=50K
28, Private,10, Machine-op-inspct,0,0,25, <=50K
30, Private,9, Sales,0,1573,35, <=50K
34, Local-gov,13, Protective-serv,0,0,40, >50K
29, Local-gov,10, Handlers-cleaners,0,0,50, <=50K
48, Self-emp-not-inc,16, Prof-specialty,0,1902,60, >50K
37, Private,10, Sales,0,0,48, >50K
48, Private,12, Exec-managerial,0,0,40, <=50K
32, Federal-gov,9, Other-service,0,0,40, <=50K
76, Private,14, Exec-managerial,0,0,40, >50K
44, Private,13, Exec-managerial,15024,0,60, >50K
47, Self-emp-not-inc,14, Prof-specialty,0,0,50, <=50K
20, Private,10, Tech-support,0,0,40, <=50K
29, Private,9, Craft-repair,0,0,40, <=50K
32, Self-emp-inc,9, Craft-repair,7688,0,40, >50K
17, ?,6, ?,34095,0,32, <=50K
30, Private,7, Handlers-cleaners,0,0,40, <=50K
31, Local-gov,9, Adm-clerical,0,0,40, <=50K
42, Private,9, Handlers-cleaners,0,0,40, <=50K
24, Private,13, Sales,0,0,40, <=50K
38, Private,15, Prof-specialty,0,0,40, >50K
56, Self-emp-not-inc,9, Other-service,0,1887,50, >50K
28, Private,10, Sales,4064,0,25, <=50K
36, Private,9, Machine-op-inspct,0,0,40, <=50K
53, Private,5, Handlers-cleaners,0,0,50, <=50K
56, Self-emp-inc,10, Sales,0,0,50, <=50K
49, Local-gov,11, Craft-repair,0,0,40, >50K
55, Private,10, Sales,0,0,56, <=50K
22, Private,9, Craft-repair,0,0,41, <=50K
21, Private,10, Other-service,0,0,40, <=50K
40, Private,13, Exec-managerial,0,0,60, <=50K
30, Private,13, Exec-managerial,0,0,40, <=50K
29, State-gov,13, Prof-specialty,0,0,50, >50K
19, Private,10, Other-service,0,0,35, <=50K
47, Private,13, Exec-managerial,0,0,40, >50K
20, Private,10, Adm-clerical,0,1719,28, <=50K
31, Private,12, Adm-clerical,0,0,40, >50K
35, ?,9, ?,0,0,40, <=50K
39, Private,10, Craft-repair,0,0,40, <=50K
28, Private,12, Sales,0,0,60, <=50K
24, Private,9, Other-service,0,1762,40, <=50K
38, Self-emp-not-inc,9, Craft-repair,4386,0,35, <=50K
37, Private,13, Sales,0,0,50, <=50K
46, Private,12, Tech-support,0,0,36, <=50K
38, Federal-gov,14, Prof-specialty,0,0,40, >50K
43, Self-emp-not-inc,9, Craft-repair,0,0,60, <=50K
27, Private,11, Adm-clerical,0,0,35, <=50K
20, Private,10, Sales,0,0,20, <=50K
49, Private,10, Craft-repair,0,0,40, >50K
61, Self-emp-inc,9, Craft-repair,0,0,40, <=50K
27, Private,10, Sales,0,0,40, <=50K
19, Private,10, Other-service,0,0,30, <=50K
45, Private,11, Prof-specialty,0,1564,40, >50K
70, Private,10, Tech-support,0,0,40, <=50K
31, Private,9, Transport-moving,0,0,30, <=50K
22, Private,10, Other-service,0,0,24, <=50K
36, Private,9, Other-service,0,0,24, <=50K
64, Private,7, Craft-repair,0,2179,40, <=50K
43, ?,10, ?,0,0,40, <=50K
47, Local-gov,10, Adm-clerical,0,0,38, <=50K
34, Private,9, Adm-clerical,0,0,40, <=50K
33, Private,13, Exec-managerial,0,0,40, <=50K
21, Private,9, Craft-repair,0,0,35, <=50K
