Student_id,Age,Grade,Employed,marks
1,19,1st Class,yes,29
2,20,2nd Class,no,41
3,18,1st Class,no,57
4,21,2nd Class,no,29
5,19,1st Class,no,57
6,20,2nd Class,yes,53
7,19,3rd Class,yes,78
8,21,3rd Class,yes,70
9,22,3rd Class,yes,97
10,21,1st Class,no,58
11,20,3rd Class,yes,83
12,20,1st Class,no,46
13,19,1st Class,yes,69
14,20,3rd Class,no,28
15,19,1st Class,yes,62
16,19,2nd Class,no,98
17,20,2nd Class,yes,79
18,18,3rd Class,no,27
19,21,2nd Class,yes,82
20,19,2nd Class,no,71
21,20,3rd Class,yes,24
22,19,2nd Class,no,35
23,21,2nd Class,yes,30
24,22,3rd Class,no,94
25,21,1st Class,no,84
26,20,2nd Class,no,30
27,20,3rd Class,no,26
28,19,1st Class,no,96
29,20,3rd Class,no,47
30,19,1st Class,yes,52
31,20,2nd Class,no,46
32,18,1st Class,no,88
33,21,2nd Class,no,59
34,19,1st Class,no,63
35,20,2nd Class,yes,36
36,19,3rd Class,yes,44
37,21,3rd Class,yes,24
38,22,3rd Class,yes,80
39,21,1st Class,no,55
40,20,3rd Class,yes,47
41,20,1st Class,no,74
42,19,1st Class,yes,67
43,20,3rd Class,no,94
44,19,1st Class,yes,32
45,19,2nd Class,no,27
46,20,2nd Class,yes,62
47,18,3rd Class,no,72
48,21,2nd Class,yes,20
49,19,2nd Class,no,35
50,20,3rd Class,yes,73
51,19,2nd Class,no,77
52,21,2nd Class,yes,70
53,22,3rd Class,no,24
54,21,1st Class,no,72
55,20,2nd Class,no,20
56,20,3rd Class,no,37
57,19,1st Class,no,84
58,20,3rd Class,no,73
59,19,1st Class,yes,66
60,20,2nd Class,no,31
61,18,1st Class,no,93
62,21,2nd Class,no,37
63,19,1st Class,no,66
64,20,2nd Class,yes,20
65,19,3rd Class,yes,86
66,21,3rd Class,yes,47
67,22,3rd Class,yes,26
68,21,1st Class,no,55
69,20,3rd Class,yes,81
70,20,1st Class,no,66
71,19,1st Class,yes,55
72,20,3rd Class,no,81
73,19,1st Class,yes,92
74,19,2nd Class,no,87
75,20,2nd Class,yes,90
76,18,3rd Class,no,67
77,21,2nd Class,yes,25
78,19,2nd Class,no,77
79,20,3rd Class,yes,77
80,19,2nd Class,no,36
81,21,2nd Class,yes,48
82,22,3rd Class,no,31
83,21,1st Class,no,74
84,20,2nd Class,no,66
85,20,3rd Class,no,22
86,19,1st Class,no,62
87,20,3rd Class,no,75
88,19,1st Class,yes,73
89,20,2nd Class,no,90
90,18,1st Class,no,35
91,21,2nd Class,no,38
92,19,1st Class,no,97
93,20,2nd Class,yes,73
94,19,3rd Class,yes,42
95,21,3rd Class,yes,32
96,22,3rd Class,yes,69
97,21,1st Class,no,28
98,20,3rd Class,yes,78
99,20,1st Class,no,73
100,19,1st Class,yes,32
101,20,3rd Class,no,38
102,19,1st Class,yes,57
103,19,2nd Class,no,55
104,20,2nd Class,yes,53
105,18,3rd Class,no,71
106,21,2nd Class,yes,39
107,19,2nd Class,no,74
108,20,3rd Class,yes,77
109,19,2nd Class,no,69
110,21,2nd Class,yes,64
111,22,3rd Class,no,39
112,21,1st Class,no,46
113,20,2nd Class,no,20
114,20,3rd Class,no,68
115,19,1st Class,no,95
116,20,3rd Class,no,38
117,19,1st Class,yes,97
118,20,2nd Class,no,37
119,18,1st Class,no,42
120,21,2nd Class,no,53
121,19,1st Class,no,25
122,20,2nd Class,yes,57
123,19,3rd Class,yes,46
124,21,3rd Class,yes,91
125,22,3rd Class,yes,74
126,21,1st Class,no,88
127,20,3rd Class,yes,94
128,20,1st Class,no,58
129,19,1st Class,yes,74
130,20,3rd Class,no,51
131,19,1st Class,yes,25
132,19,2nd Class,no,36
133,20,2nd Class,yes,71
134,18,3rd Class,no,23
135,21,2nd Class,yes,90
136,19,2nd Class,no,76
137,20,3rd Class,yes,61
138,19,2nd Class,no,98
139,21,2nd Class,yes,38
140,22,3rd Class,no,81
141,21,1st Class,no,79
142,20,2nd Class,no,97
143,20,3rd Class,no,48
144,19,1st Class,no,58
145,20,3rd Class,no,89
146,19,1st Class,yes,67
147,20,2nd Class,no,52
148,18,1st Class,no,50
149,21,2nd Class,no,85
150,19,1st Class,no,98
151,20,2nd Class,yes,82
152,19,3rd Class,yes,97
153,21,3rd Class,yes,29
154,22,3rd Class,yes,66
155,21,1st Class,no,46
156,20,3rd Class,yes,86
157,20,1st Class,no,61
158,19,1st Class,yes,85
159,20,3rd Class,no,90
160,19,1st Class,yes,24
161,19,2nd Class,no,94
162,20,2nd Class,yes,53
163,18,3rd Class,no,35
164,21,2nd Class,yes,75
165,19,2nd Class,no,96
166,20,3rd Class,yes,64
167,19,2nd Class,no,24
168,21,2nd Class,yes,49
169,22,3rd Class,no,52
170,21,1st Class,no,26
171,20,2nd Class,no,70
172,20,3rd Class,no,60
173,19,1st Class,no,26
174,20,3rd Class,no,72
175,19,1st Class,yes,82
176,20,2nd Class,no,26
177,18,1st Class,no,21
178,21,2nd Class,no,63
179,19,1st Class,no,28
180,20,2nd Class,yes,78
181,19,3rd Class,yes,71
182,21,3rd Class,yes,91
183,22,3rd Class,yes,55
184,21,1st Class,no,40
185,20,3rd Class,yes,64
186,20,1st Class,no,33
187,19,1st Class,yes,36
188,20,3rd Class,no,31
189,19,1st Class,yes,58
190,19,2nd Class,no,38
191,20,2nd Class,yes,49
192,18,3rd Class,no,77
193,21,2nd Class,yes,62
194,19,2nd Class,no,72
195,20,3rd Class,yes,64
196,19,2nd Class,no,43
197,21,2nd Class,yes,89
198,22,3rd Class,no,86
199,21,1st Class,no,58
200,20,2nd Class,no,28
201,20,3rd Class,no,33
202,19,1st Class,no,41
203,20,3rd Class,no,33
204,19,1st Class,yes,31
205,20,2nd Class,no,85
206,18,1st Class,no,68
207,21,2nd Class,no,28
208,19,1st Class,no,55
209,20,2nd Class,yes,92
210,19,3rd Class,yes,89
211,21,3rd Class,yes,68
212,22,3rd Class,yes,87
213,21,1st Class,no,60
214,20,3rd Class,yes,97
215,20,1st Class,no,35
216,19,1st Class,yes,41
217,20,3rd Class,no,41
218,19,1st Class,yes,31
219,19,2nd Class,no,90
220,20,2nd Class,yes,90
221,18,3rd Class,no,97
222,21,2nd Class,yes,37
223,19,2nd Class,no,40
224,20,3rd Class,yes,31
225,19,2nd Class,no,94
226,21,2nd Class,yes,70
227,22,3rd Class,no,45
228,21,1st Class,no,42
229,20,2nd Class,no,47
230,20,3rd Class,yes,21
231,19,1st Class,yes,64
232,20,3rd Class,yes,30
