Student_id,Mark,City
1,95,Chennai
2,70,Delhi
3,98,Mumbai
4,75,Pune
5,89,Kochi
6,69,Gwalior
7,52,Bhopal
8,54,Chennai
9,55,Delhi
10,94,Mumbai
11,52,Pune
12,90,Kochi
13,92,Gwalior
14,55,Bhopal
15,97,Pune
16,77,Kochi
17,68,Gwalior
18,51,Bhopal
19,72,Chennai
20,79,Delhi
21,49,Mumbai
22,78,Pune
23,76,Chennai
24,43,Delhi
25,89,Mumbai
26,75,Pune
27,45,Kochi
28,98,Gwalior
29,54,Bhopal
30,81,Chennai
31,74,Delhi
32,82,Mumbai
33,78,Pune
34,83,Kochi
35,79,Gwalior
36,55,Bhopal
37,53,Pune
38,55,Kochi
39,84,Gwalior
40,44,Bhopal
41,85,Chennai
42,86,Delhi
43,45,Mumbai
44,95,Pune
45,73,Chennai
46,79,Delhi
47,46,Mumbai
48,67,Pune
49,68,Kochi
50,47,Gwalior
51,65,Bhopal
52,67,Chennai
53,49,Delhi
54,82,Mumbai
55,69,Pune
56,48,Kochi
57,85,Gwalior
58,42,Bhopal
59,89,Pune
60,66,Kochi
61,98,Gwalior
62,77,Bhopal
63,98,Chennai
64,78,Delhi
65,43,Mumbai
66,59,Pune
67,58,Chennai
68,87,Delhi
69,55,Mumbai
70,86,Pune
71,85,Kochi
72,54,Gwalior
73,89,Bhopal
74,77,Chennai
75,79,Delhi
76,53,Mumbai
77,77,Pune
78,76,Kochi
79,56,Gwalior
80,75,Bhopal
81,74,Pune
82,59,Kochi
83,98,Gwalior
84,73,Bhopal
85,58,Chennai
86,97,Delhi
87,57,Mumbai
88,96,Pune
89,75,Chennai
90,94,Delhi
91,74,Mumbai
92,93,Pune
93,74,Kochi
94,53,Gwalior
95,50,Bhopal
96,40,Chennai
97,87,Delhi
98,44,Mumbai
99,86,Pune
100,84,Kochi
101,43,Gwalior
102,98,Chennai
103,75,Delhi
104,78,Mumbai
105,42,Pune
106,77,Kochi
107,78,Gwalior
108,41,Bhopal
109,79,Chennai
110,76,Delhi
111,45,Mumbai
112,97,Pune
113,75,Kochi
114,46,Gwalior
115,96,Bhopal
116,47,Pune
117,90,Kochi
118,79,Gwalior
119,91,Bhopal
120,77,Chennai
121,87,Delhi
122,75,Mumbai
123,48,Pune
124,49,Chennai
125,55,Delhi
126,88,Mumbai
127,56,Pune
128,86,Kochi
129,89,Gwalior
130,57,Bhopal
131,90,Chennai
132,75,Delhi
133,75,Mumbai
134,58,Pune
135,75,Kochi
136,74,Gwalior
137,59,Chennai
138,73,Delhi
139,72,Mumbai
140,50,Pune
141,93,Kochi
142,71,Gwalior
143,40,Bhopal
144,97,Chennai
145,43,Delhi
146,98,Mumbai
147,70,Pune
148,99,Kochi
149,77,Gwalior
150,100,Bhopal
151,78,Pune
152,45,Kochi
153,46,Gwalior
154,47,Bhopal
155,89,Chennai
156,49,Delhi
157,86,Mumbai
158,92,Pune
159,50,Chennai
160,92,Delhi
161,79,Mumbai
162,79,Pune
163,59,Kochi
164,75,Gwalior
165,75,Bhopal
166,53,Chennai
167,74,Delhi
168,74,Mumbai
169,53,Pune
170,90,Kochi
171,73,Gwalior
172,52,Chennai
173,98,Delhi
174,56,Mumbai
175,84,Pune
176,77,Kochi
177,97,Gwalior
178,76,Bhopal
179,94,Chennai
180,76,Delhi
181,56,Mumbai
182,58,Pune
183,59,Kochi
184,87,Gwalior
185,50,Bhopal
186,85,Pune
187,83,Kochi
188,40,Gwalior
189,89,Bhopal
190,75,Chennai
191,77,Delhi
192,44,Mumbai
193,75,Pune
194,74,Chennai
195,43,Delhi
196,74,Mumbai
197,74,Pune
198,53,Kochi
199,87,Gwalior
200,75,Bhopal
201,42,Chennai
202,80,Delhi
203,46,Mumbai
204,91,Pune
205,78,Kochi
206,80,Gwalior
207,79,Chennai
208,91,Delhi
209,70,Mumbai
210,59,Pune
211,58,Kochi
212,56,Gwalior
213,92,Bhopal
214,54,Chennai
215,93,Delhi
216,95,Mumbai
217,53,Pune
218,96,Kochi
219,75,Gwalior
220,75,Bhopal
221,52,Pune
222,74,Kochi
223,79,Gwalior
224,50,Bhopal
225,72,Chennai
226,71,Delhi
227,51,Mumbai
228,99,Pune
229,70,Chennai
230,55,Delhi
231,97,Mumbai
232,59,Pune
