Student_id,Age,Gender,Grade,Employed
1,19,Male,1st Class,yes
2,20,Female,2nd Class,no
3,18,Male,1st Class,no
4,21,Female,2nd Class,no
5,19,Male,1st Class,no
6,20,Male,2nd Class,yes
7,19,Female,3rd Class,yes
8,21,Male,3rd Class,yes
9,22,Female,3rd Class,yes
10,21,Male,1st Class,no
11,20,Female,3rd Class,yes
12,20,Male,1st Class,no
13,19,Male,1st Class,yes
14,20,Female,3rd Class,no
15,19,Male,1st Class,yes
16,19,Female,2nd Class,no
17,20,Male,2nd Class,yes
18,18,Female,3rd Class,no
19,21,Male,2nd Class,yes
20,19,Male,2nd Class,no
21,20,Female,3rd Class,yes
22,19,Male,2nd Class,no
23,21,Female,2nd Class,yes
24,22,Male,3rd Class,no
25,21,Female,1st Class,no
26,20,Male,2nd Class,no
27,20,Male,3rd Class,no
28,19,Female,1st Class,no
29,20,Male,3rd Class,no
30,19,Male,1st Class,yes
31,20,Female,2nd Class,no
32,18,Male,1st Class,no
33,21,Female,2nd Class,no
34,19,Male,1st Class,no
35,20,Male,2nd Class,yes
36,19,Female,3rd Class,yes
37,21,Male,3rd Class,yes
38,22,Female,3rd Class,yes
39,21,Male,1st Class,no
40,20,Female,3rd Class,yes
41,20,Male,1st Class,no
42,19,Male,1st Class,yes
43,20,Female,3rd Class,no
44,19,Male,1st Class,yes
45,19,Female,2nd Class,no
46,20,Male,2nd Class,yes
47,18,Female,3rd Class,no
48,21,Male,2nd Class,yes
49,19,Male,2nd Class,no
50,20,Female,3rd Class,yes
51,19,Male,2nd Class,no
52,21,Female,2nd Class,yes
53,22,Male,3rd Class,no
54,21,Female,1st Class,no
55,20,Male,2nd Class,no
56,20,Male,3rd Class,no
57,19,Female,1st Class,no
58,20,Male,3rd Class,no
59,19,Male,1st Class,yes
60,20,Female,2nd Class,no
61,18,Male,1st Class,no
62,21,Female,2nd Class,no
63,19,Male,1st Class,no
64,20,Male,2nd Class,yes
65,19,Female,3rd Class,yes
66,21,Male,3rd Class,yes
67,22,Female,3rd Class,yes
68,21,Male,1st Class,no
69,20,Female,3rd Class,yes
70,20,Male,1st Class,no
71,19,Male,1st Class,yes
72,20,Female,3rd Class,no
73,19,Male,1st Class,yes
74,19,Female,2nd Class,no
75,20,Male,2nd Class,yes
76,18,Female,3rd Class,no
77,21,Male,2nd Class,yes
78,19,Male,2nd Class,no
79,20,Female,3rd Class,yes
80,19,Male,2nd Class,no
81,21,Female,2nd Class,yes
82,22,Male,3rd Class,no
83,21,Female,1st Class,no
84,20,Male,2nd Class,no
85,20,Male,3rd Class,no
86,19,Female,1st Class,no
87,20,Male,3rd Class,no
88,19,Male,1st Class,yes
89,20,Female,2nd Class,no
90,18,Male,1st Class,no
91,21,Female,2nd Class,no
92,19,Male,1st Class,no
93,20,Male,2nd Class,yes
94,19,Female,3rd Class,yes
95,21,Male,3rd Class,yes
96,22,Female,3rd Class,yes
97,21,Male,1st Class,no
98,20,Female,3rd Class,yes
99,20,Male,1st Class,no
100,19,Male,1st Class,yes
101,20,Female,3rd Class,no
102,19,Male,1st Class,yes
103,19,Female,2nd Class,no
104,20,Male,2nd Class,yes
105,18,Female,3rd Class,no
106,21,Male,2nd Class,yes
107,19,Male,2nd Class,no
108,20,Female,3rd Class,yes
109,19,Male,2nd Class,no
110,21,Female,2nd Class,yes
111,22,Male,3rd Class,no
112,21,Female,1st Class,no
113,20,Male,2nd Class,no
114,20,Male,3rd Class,no
115,19,Female,1st Class,no
116,20,Male,3rd Class,no
117,19,Male,1st Class,yes
118,20,Female,2nd Class,no
119,18,Male,1st Class,no
120,21,Female,2nd Class,no
121,19,Male,1st Class,no
122,20,Male,2nd Class,yes
123,19,Female,3rd Class,yes
124,21,Male,3rd Class,yes
125,22,Female,3rd Class,yes
126,21,Male,1st Class,no
127,20,Female,3rd Class,yes
128,20,Male,1st Class,no
129,19,Male,1st Class,yes
